State,Presidential_Candidate,Average_Sentiment,S_Score,Share_Percentage
Arizona,Donald Trump,-0.09081934846989141,0.4545903257650543,45.044078663460944
Arizona,Kamala Harris,0.1092436974789916,0.5546218487394958,54.95592133653906
Michigan,Donald Trump,0.15770609318996415,0.578853046594982,53.49085065914606
Michigan,Kamala Harris,0.006600660066006601,0.5033003300330033,46.50914934085394
Pennsylvania,Kamala Harris,0.10671462829736211,0.5533573141486811,52.15639500746377
Pennsylvania,Donald Trump,0.01520086862106406,0.507600434310532,47.84360499253623
